ID;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;TotalSpent;TotalPurchases;TotalKids;AcceptedCmp_total;AvgSpentPerPurchase;DaySinceCustomer
2569;1987;Graduation;Married;17323.0;0;0;2012-10-10;38;3;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;0;0;38;46;5;0;0;9.2;4753
2114;1946;PhD;Single;82800.0;0;0;2012-11-24;23;1006;22;115;59;68;45;1;7;6;12;3;0;0;1;1;0;0;1;79;1315;26;0;3;50.58;4708
9736;1980;Graduation;Married;41850.0;1;1;2012-12-24;51;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;0;0;45;96;9;2;0;10.67;4678
4939;1946;Graduation;Together;37760.0;0;0;2012-08-31;20;84;5;38;150;12;28;2;4;1;6;7;0;0;0;0;0;0;0;79;317;13;0;0;24.38;4793
6565;1949;Master;Married;76995.0;0;1;2013-03-28;91;1012;80;498;0;16;176;2;11;4;9;5;0;0;0;1;0;0;0;76;1782;26;1;1;68.54;4584
2278;1985;2n Cycle;Single;33812.0;1;0;2012-11-03;86;4;17;19;30;24;39;2;2;1;3;6;0;0;0;0;0;0;0;40;133;8;1;0;16.62;4729
9360;1982;Graduation;Married;37040.0;0;0;2012-08-08;41;86;2;73;69;38;48;1;4;2;5;8;0;0;0;0;0;0;0;43;316;12;0;0;26.33;4816
5376;1979;Graduation;Married;2447.0;1;0;2013-01-06;42;1;1;1725;1;1;1;15;0;28;0;1;0;0;0;0;0;0;0;46;1730;43;1;0;40.23;4665
1993;1949;PhD;Married;58607.0;0;1;2012-12-23;63;867;0;86;0;0;19;3;2;3;9;8;0;1;0;0;0;0;0;76;972;17;1;1;57.18;4679
4047;1954;PhD;Married;65324.0;0;1;2014-01-11;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;0;71;544;20;1;0;27.2;4295
1409;1951;Graduation;Together;40689.0;0;1;2013-03-18;69;270;3;27;39;6;99;7;7;1;5;8;0;0;0;0;0;0;0;74;444;20;1;0;22.2;4594
7892;1969;Graduation;Single;18589.0;0;0;2013-01-02;89;6;4;25;15;12;13;2;2;1;3;7;0;0;0;0;0;0;0;56;75;8;0;0;9.38;4669
2404;1976;Graduation;Married;53359.0;1;1;2013-05-27;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;0;49;257;14;2;0;18.36;4524
5255;1986;Graduation;Single;51381.5;1;0;2013-02-20;19;5;1;3;3;263;362;0;27;0;0;1;0;0;0;0;0;0;0;39;637;27;1;0;23.59;4620
9422;1989;Graduation;Married;38360.0;1;0;2013-05-31;26;36;2;42;20;21;10;2;2;1;4;3;0;0;0;0;0;0;0;36;131;9;1;0;14.56;4520
1966;1965;PhD;Married;84618.0;0;0;2013-11-22;96;684;100;801;21;66;0;1;6;9;10;2;0;0;1;0;0;0;0;60;1672;26;0;1;64.31;4345
6864;1989;Master;Divorced;10979.0;0;0;2014-05-22;34;8;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;0;36;30;8;0;0;3.75;4164
3033;1963;Master;Together;38620.0;0;0;2013-05-11;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0;62;318;11;0;0;28.91;4540
5710;1970;Graduation;Together;40548.0;0;1;2012-10-10;31;110;0;5;2;0;3;2;2;1;4;5;0;1;0;0;0;0;0;55;120;9;1;1;13.33;4753
7373;1952;PhD;Divorced;46610.0;0;2;2012-10-29;8;96;12;96;33;22;43;6;4;1;6;6;0;0;0;0;0;0;1;73;302;17;2;1;17.76;4734
8755;1946;Master;Married;68657.0;0;0;2013-02-20;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;0;79;1196;18;0;0;66.44;4620
10738;1951;Master;Single;49389.0;1;1;2013-08-29;55;40;0;19;2;1;3;1;2;0;3;7;0;0;0;0;0;0;0;74;65;6;2;0;10.83;4430
4339;1970;PhD;Married;67353.0;0;1;2013-12-31;37;702;17;151;0;8;35;5;5;6;12;2;0;0;0;0;0;0;0;55;913;28;1;0;32.61;4306
10755;1976;2n Cycle;Married;23718.0;1;0;2013-09-02;76;6;3;14;15;7;36;3;3;1;2;7;0;0;0;0;0;0;0;49;81;9;1;0;9.0;4426
8595;1973;Graduation;Widow;42429.0;0;1;2014-02-11;99;55;0;6;2;0;4;2;1;1;3;5;0;0;0;0;0;0;0;52;67;7;1;0;9.57;4264
2968;1943;PhD;Divorced;48948.0;0;0;2013-02-01;53;437;8;206;160;49;42;2;7;10;5;6;1;0;0;0;0;0;1;82;902;24;0;2;37.58;4639
8601;1980;Graduation;Married;80011.0;0;1;2013-04-29;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;0;45;1395;21;1;0;66.43;4552
503;1985;Master;Married;20559.0;1;0;2013-03-12;88;13;1;29;3;0;7;2;2;0;3;8;0;0;0;0;0;0;0;40;53;7;1;0;7.57;4600
8430;1957;Graduation;Together;21994.0;0;1;2012-12-24;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;0;68;22;4;1;0;5.5;4678
7281;1959;PhD;Single;51381.5;0;0;2013-11-05;80;81;11;50;3;2;39;1;1;3;4;2;0;0;0;0;0;0;0;66;186;9;0;0;20.67;4362
2139;1975;Master;Married;7500.0;1;0;2013-10-02;19;3;1;10;3;2;12;3;2;0;3;5;0;0;0;0;0;0;0;50;31;8;1;0;3.88;4396
1371;1976;Graduation;Single;79941.0;0;0;2014-06-28;72;123;164;266;227;30;174;1;2;4;9;1;0;0;0;0;0;0;0;49;984;16;0;0;61.5;4127
9909;1996;2n Cycle;Married;7500.0;0;0;2012-11-09;24;3;18;14;15;22;50;3;3;1;3;9;0;0;0;0;0;0;1;29;122;10;0;1;12.2;4723
7286;1968;Graduation;Together;41728.0;1;0;2013-05-24;92;13;6;15;3;5;13;1;2;0;2;10;0;0;0;0;0;0;0;57;55;5;1;0;11.0;4527
7244;1951;Graduation;Single;51381.5;2;1;2014-01-01;96;48;5;48;6;10;7;3;2;1;4;6;0;0;0;0;0;0;0;74;124;10;3;0;12.4;4305
6566;1954;PhD;Married;72550.0;1;1;2012-11-08;39;826;50;317;50;38;38;9;5;2;12;8;0;0;0;0;0;0;0;71;1319;28;2;0;47.11;4724
8614;1957;Graduation;Widow;65486.0;0;1;2014-05-12;29;245;19;125;37;67;14;1;4;2;10;2;0;0;0;0;0;0;0;68;507;17;1;0;29.82;4174
4114;1964;Master;Married;79143.0;0;0;2012-08-11;2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;0;0;61;1693;29;0;0;58.38;4813
1331;1977;Graduation;Single;35790.0;1;0;2013-01-02;54;12;6;20;30;1;3;2;2;0;3;7;0;0;0;0;0;0;0;48;72;7;1;0;10.29;4669
2225;1977;Graduation;Divorced;82582.0;0;0;2014-06-07;54;510;120;550;156;40;241;1;4;9;7;1;1;0;0;1;0;0;1;48;1617;21;0;3;77.0;4148
9381;1978;Graduation;Married;66373.0;1;1;2013-06-12;57;328;9;124;12;24;109;7;4;2;10;3;0;0;0;0;0;0;0;47;606;23;2;0;26.35;4508
6260;1955;Master;Together;82384.0;0;0;2012-11-19;55;984;51;432;180;120;190;1;3;10;13;1;0;0;1;0;0;0;1;70;1957;27;0;2;72.48;4713
10383;1966;Graduation;Divorced;70287.0;0;0;2013-04-02;30;295;35;482;121;120;40;1;5;5;10;3;0;0;0;0;0;0;1;59;1093;21;0;1;52.05;4579
7437;1988;Graduation;Single;27938.0;1;0;2014-04-28;31;13;0;8;2;1;5;1;1;0;4;3;0;0;0;0;0;0;0;37;29;6;1;0;4.83;4188
8557;1982;Graduation;Single;51381.5;1;0;2013-06-17;57;11;3;22;2;2;6;2;2;0;3;6;0;0;0;0;0;0;0;43;46;7;1;0;6.57;4503
8375;1968;PhD;Married;55954.0;0;1;2014-03-03;63;447;0;28;0;0;43;3;8;2;6;7;0;0;0;0;0;0;0;57;518;19;1;0;27.26;4244
6853;1982;Master;Single;75777.0;0;0;2013-07-04;12;712;26;538;69;13;80;1;3;6;11;1;0;1;1;0;0;0;1;43;1438;21;0;3;68.48;4486
3076;1975;Graduation;Together;66653.0;1;1;2012-09-07;18;452;18;102;16;18;6;4;4;2;12;3;0;0;0;0;0;0;0;50;612;22;2;0;27.82;4786
1012;1952;Graduation;Single;61823.0;0;1;2013-02-18;26;523;7;134;37;14;169;4;8;2;10;7;0;0;0;0;0;0;0;73;884;24;1;0;36.83;4622
6518;1951;PhD;Widow;67680.0;0;1;2013-06-11;8;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;0;0;74;606;19;1;0;31.89;4509
4137;1948;Graduation;Together;70666.0;0;0;2013-12-06;29;398;40;367;119;122;30;1;7;4;4;4;0;0;0;0;0;0;0;77;1076;16;0;0;67.25;4331
8082;1971;Graduation;Married;25721.0;1;0;2013-05-21;75;1;3;6;3;6;15;1;1;1;2;7;0;0;0;0;0;0;1;54;34;5;1;1;6.8;4530
1386;1967;Graduation;Together;32474.0;1;1;2014-05-11;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;0;0;58;11;4;2;0;2.75;4175
9369;1979;2n Cycle;Single;88194.0;0;1;2014-03-19;19;688;14;309;201;24;38;1;11;10;10;5;1;0;0;1;0;0;1;46;1274;32;1;3;39.81;4228
4477;1958;Graduation;Together;69096.0;0;1;2013-09-27;4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;0;67;653;18;1;0;36.28;4401
1357;1970;Graduation;Together;74854.0;1;2;2013-04-08;90;856;59;487;58;29;73;7;2;5;5;5;0;0;0;0;0;0;0;55;1562;19;3;0;82.21;4573
1402;1954;Master;Married;66991.0;0;0;2012-09-11;1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;0;0;71;1253;21;0;0;59.67;4782
10629;1973;2n Cycle;Married;51381.5;1;0;2012-09-14;25;25;3;43;17;4;17;3;3;0;3;8;0;0;0;0;0;0;0;52;109;9;1;0;12.11;4779
6312;1959;Graduation;Married;65031.0;0;1;2013-03-17;29;258;107;291;84;37;86;4;10;3;13;7;0;0;0;0;0;0;0;66;863;30;1;0;28.77;4595
8132;1975;PhD;Married;60631.0;1;1;2013-04-05;88;565;6;65;0;6;19;5;9;2;8;7;0;1;0;0;0;0;0;50;661;24;2;1;27.54;4576
1050;1952;Graduation;Married;28332.0;0;0;2014-04-30;58;14;10;13;4;15;9;1;2;1;4;2;0;0;0;0;0;0;0;73;65;8;0;0;8.12;4186
5846;1977;Graduation;Divorced;40246.0;1;0;2012-12-19;68;2;1;6;2;1;1;1;1;0;2;6;0;0;0;0;0;0;0;48;13;4;1;0;3.25;4683
1859;1972;Master;Married;75251.0;0;0;2012-08-27;34;721;111;925;97;18;18;1;7;6;5;5;0;0;0;0;0;0;1;53;1890;19;0;1;99.47;4797
7503;1976;Graduation;Single;75825.0;0;0;2012-10-12;40;1032;105;779;137;105;51;0;5;8;9;4;1;0;0;0;0;0;1;49;2209;22;0;2;100.41;4751
10401;1976;2n Cycle;Together;26326.0;0;0;2013-09-04;12;1;0;5;0;3;9;1;0;0;3;3;0;0;0;0;0;1;0;49;18;4;0;0;4.5;4424
1618;1965;Graduation;Together;56046.0;0;0;2013-01-02;9;577;0;64;0;0;51;2;10;1;8;8;1;0;0;0;0;0;1;60;692;21;0;2;32.95;4669
3332;1985;Graduation;Single;29760.0;1;0;2012-08-29;87;64;4;68;7;5;17;4;3;1;4;8;0;0;0;0;0;0;0;40;165;12;1;0;13.75;4795
2261;1969;Graduation;Married;26304.0;1;0;2013-06-23;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;0;56;16;4;1;0;4.0;4497
5346;1973;2n Cycle;Married;23559.0;1;0;2013-07-03;87;25;5;19;7;0;23;3;3;0;3;7;0;0;0;0;0;0;0;52;79;9;1;0;8.78;4487
4119;1963;Master;Together;38620.0;0;0;2013-05-11;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0;62;318;11;0;0;28.91;4540
535;1987;Graduation;Divorced;81361.0;0;0;2014-02-25;18;163;23;424;27;65;76;1;3;10;13;1;0;0;0;0;0;0;0;38;778;27;0;0;28.81;4250
5268;1960;Graduation;Married;29440.0;1;1;2013-08-11;95;17;8;14;10;4;3;2;1;0;4;7;0;0;0;0;0;0;0;65;56;7;2;0;8.0;4448
273;1970;Master;Married;36138.0;1;1;2013-07-16;48;130;0;16;0;0;5;5;3;1;4;7;0;1;0;0;0;0;0;55;151;13;2;1;11.62;4474
4452;1957;Graduation;Single;50388.0;0;1;2014-05-28;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;0;1;68;372;17;1;3;21.88;4158
8504;1973;Graduation;Married;79593.0;0;0;2014-05-12;70;350;60;568;110;133;145;1;5;6;7;2;0;0;1;0;0;0;0;52;1366;19;0;1;71.89;4174
771;1967;Graduation;Together;54178.0;0;1;2014-01-21;79;135;9;39;4;0;7;1;2;2;5;2;0;0;0;0;0;0;0;58;194;10;1;0;19.4;4285
8996;1957;PhD;Married;51381.5;2;1;2012-11-19;4;230;42;192;49;37;53;12;7;2;8;9;0;0;0;0;0;0;0;68;603;29;3;0;20.79;4713
9235;1957;Graduation;Single;51381.5;1;1;2014-05-27;45;7;0;8;2;0;1;1;1;0;2;7;0;0;0;0;0;0;0;68;18;4;2;0;4.5;4159
5798;1973;Master;Together;51381.5;0;0;2013-11-23;87;445;37;359;98;28;18;1;2;4;8;1;0;0;0;0;0;0;0;52;985;15;0;0;65.67;4344
11178;1972;Master;Single;42394.0;1;0;2014-03-23;69;15;2;10;0;1;4;1;1;0;3;7;0;0;0;0;0;0;0;53;32;5;1;0;6.4;4224
2230;1970;PhD;Married;23626.0;1;0;2014-05-24;84;27;2;14;0;0;0;3;3;1;3;5;0;0;0;0;0;0;0;55;43;10;1;0;4.3;4162
7516;1983;Graduation;Married;30096.0;1;0;2014-05-22;30;5;3;11;12;5;9;1;2;0;3;6;0;0;0;0;0;0;0;42;45;6;1;0;7.5;4164
7247;1960;Graduation;Widow;47916.0;0;1;2012-11-22;72;505;0;26;0;0;75;5;7;4;6;6;0;1;0;0;0;0;0;65;606;22;1;1;27.55;4710
11100;1972;Graduation;Divorced;51813.0;1;1;2013-04-11;37;51;2;7;0;1;2;2;2;0;3;7;0;0;0;0;0;0;0;53;63;7;2;0;9.0;4570
4646;1951;2n Cycle;Married;78497.0;0;0;2013-12-01;44;207;26;447;75;0;223;1;5;7;12;2;0;0;0;1;0;0;0;74;978;25;0;1;39.12;4336
3037;1983;PhD;Married;50150.0;0;0;2013-06-20;32;135;46;92;65;61;11;2;5;2;7;5;0;0;0;0;0;0;0;42;410;16;0;0;25.62;4500
1473;1960;2n Cycle;Single;47823.0;0;1;2013-07-23;0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;0;0;65;72;7;1;0;10.29;4467
1016;1959;PhD;Single;34554.0;0;1;2014-03-30;43;41;1;6;2;0;5;2;2;0;3;6;0;0;0;0;0;0;0;66;55;7;1;0;7.86;4217
4518;1979;Graduation;Together;85693.0;0;1;2013-04-20;59;386;172;183;185;132;111;2;9;5;11;5;0;0;0;0;0;0;0;46;1169;27;1;0;43.3;4561
9370;1945;PhD;Married;65846.0;0;0;2013-05-17;68;562;81;276;80;40;81;1;6;3;6;4;0;0;0;0;0;0;0;80;1120;16;0;0;70.0;4534
8908;1959;Graduation;Married;87195.0;0;0;2014-05-08;35;217;76;690;50;26;38;1;3;11;5;1;0;0;0;0;0;0;1;66;1097;20;0;1;54.85;4178
8373;1979;Basic;Together;24594.0;1;0;2013-12-10;94;1;3;6;10;0;9;1;1;0;3;5;0;0;0;0;0;0;0;46;29;5;1;0;5.8;4327
7533;1964;Graduation;Married;49096.0;1;1;2013-09-24;15;144;1;32;2;1;7;4;4;1;4;7;0;0;0;0;0;0;0;61;187;13;2;0;14.38;4404
2683;1969;Graduation;Married;52413.0;0;2;2013-02-02;56;295;106;271;75;98;65;4;6;4;12;6;0;0;0;0;0;0;0;56;910;26;2;0;35.0;4638
3629;1978;Graduation;Single;38557.0;1;0;2012-12-19;17;76;3;31;4;4;27;2;3;1;3;7;0;0;0;0;0;0;0;47;145;9;1;0;16.11;4683
10991;1960;Master;Married;89058.0;0;0;2012-12-07;18;454;194;106;31;22;43;1;5;4;4;2;0;0;0;0;0;0;0;65;850;14;0;0;60.71;4695
5077;1979;Graduation;Together;77298.0;0;1;2013-11-02;46;425;115;292;23;35;79;1;6;6;11;3;0;0;0;0;0;0;0;46;969;24;1;0;40.38;4365
7431;1991;PhD;Single;68126.0;0;0;2012-11-10;40;1332;17;311;23;51;86;1;7;4;5;9;0;1;0;0;0;0;1;34;1820;17;0;2;107.06;4722
3267;1963;Master;Together;57288.0;0;1;2014-06-25;27;527;0;21;0;0;60;3;8;1;8;6;0;1;0;0;0;0;0;62;608;20;1;1;30.4;4130
999;1991;Graduation;Single;86037.0;0;0;2013-01-02;95;490;44;125;29;20;22;1;6;7;11;3;0;1;1;0;0;0;1;34;730;25;0;3;29.2;4669
9215;1980;PhD;Married;43974.0;1;0;2012-12-12;19;378;0;101;0;0;72;5;6;4;6;7;0;0;0;0;0;0;0;45;551;21;1;0;26.24;4690
2286;1962;Graduation;Single;50785.0;1;1;2013-09-10;27;64;1;21;0;1;27;2;2;1;3;6;0;0;0;0;0;0;0;63;114;8;2;0;14.25;4418
1592;1970;Graduation;Married;90765.0;0;0;2014-01-24;25;547;99;812;151;82;33;0;4;6;5;1;0;0;1;1;0;0;0;55;1724;15;0;2;114.93;4282
367;1978;2n Cycle;Married;36550.0;1;0;2013-02-19;74;47;90;94;123;103;120;5;9;1;5;9;0;0;0;0;0;0;0;47;577;20;1;0;28.85;4621
5234;1967;2n Cycle;Together;30753.0;1;1;2013-07-11;85;12;5;25;0;9;30;2;1;1;3;5;0;0;0;0;0;0;0;58;81;7;2;0;11.57;4479
9862;1969;Graduation;Together;21918.0;1;0;2013-11-14;37;1;6;7;11;5;3;2;2;0;3;6;0;0;0;0;0;0;0;56;33;7;1;0;4.71;4353
9805;1953;Master;Together;56129.0;0;1;2013-06-20;65;320;48;133;39;72;48;4;6;2;10;4;0;0;0;0;0;0;0;72;660;22;1;0;30.0;4500
6205;1967;Master;Single;32557.0;1;0;2014-02-24;13;34;3;29;0;4;10;3;2;1;3;5;0;0;0;0;0;0;1;58;80;9;1;1;8.89;4251
8442;1985;Master;Married;19510.0;2;0;2013-09-04;63;9;0;7;3;4;7;2;1;0;3;7;0;0;0;0;0;0;0;40;30;6;2;0;5.0;4424
7386;1976;Graduation;Divorced;30992.0;1;0;2013-04-22;83;17;0;14;7;3;2;1;1;0;3;7;0;0;0;0;0;0;0;49;43;5;1;0;8.6;4559
7215;1983;Graduation;Single;101970.0;0;0;2013-03-12;69;722;27;102;44;72;168;0;6;8;13;2;0;1;1;1;0;0;1;42;1135;27;0;4;42.04;4600
1491;1965;2n Cycle;Together;71488.0;0;0;2013-02-18;87;162;33;124;40;28;172;2;3;4;7;1;0;0;0;0;0;0;0;60;559;16;0;0;34.94;4622
11071;1984;Graduation;Single;79607.0;0;0;2013-04-21;37;450;133;951;173;0;216;1;3;6;6;1;0;0;0;0;0;0;1;41;1923;16;0;1;120.19;4560
3381;1953;Master;Married;54348.0;1;1;2014-06-08;51;70;0;16;0;0;4;2;2;0;4;6;0;0;0;0;0;0;0;72;90;8;2;0;11.25;4147
8268;1961;PhD;Married;51381.5;0;1;2013-07-11;23;352;0;27;10;0;15;3;6;1;7;6;0;0;0;0;0;0;0;64;404;17;1;0;23.76;4479
11051;1956;PhD;Together;77376.0;1;1;2014-05-10;72;492;19;110;16;12;12;4;6;3;10;4;0;0;0;0;0;0;0;69;661;23;2;0;28.74;4176
8026;1952;Graduation;Married;62998.0;0;1;2013-09-30;10;120;58;73;65;89;58;5;5;4;5;5;0;0;0;0;0;0;0;73;463;19;1;0;24.37;4398
433;1958;Master;Alone;61331.0;1;1;2013-03-10;42;534;5;47;0;5;41;5;11;1;6;8;0;0;0;0;0;0;0;67;632;23;2;0;27.48;4602
9597;1969;Graduation;Married;73448.0;0;0;2014-02-10;10;236;106;189;23;41;130;1;7;2;9;4;0;0;0;0;0;0;0;56;725;19;0;0;38.16;4265
1295;1963;Graduation;Married;51381.5;0;1;2013-08-11;96;231;65;196;38;71;124;1;6;5;7;4;0;0;0;0;0;0;0;62;725;19;1;0;38.16;4448
5290;1964;PhD;Married;41551.0;1;1;2013-08-14;51;220;0;33;3;0;23;5;5;1;5;8;0;0;0;0;0;0;0;61;279;16;2;0;17.44;4445
1685;1967;PhD;Together;62981.0;0;0;2013-03-17;21;796;14;590;38;44;0;1;4;5;13;3;0;1;0;0;0;0;0;58;1482;23;0;1;64.43;4595
5342;1976;Basic;Divorced;9548.0;1;0;2012-08-08;31;0;1;3;10;6;9;2;1;0;3;8;0;0;0;0;0;0;0;49;29;6;1;0;4.83;4816
9579;1959;PhD;Married;33762.0;2;1;2013-07-07;61;53;1;34;2;0;16;3;2;2;2;8;0;0;0;0;0;0;0;66;106;9;3;0;11.78;4483
7660;1973;PhD;Alone;35860.0;1;1;2014-05-19;37;15;0;8;4;2;20;2;1;1;2;5;1;0;0;0;0;0;1;52;49;6;2;2;8.17;4167
1461;1965;PhD;Divorced;36921.0;1;1;2013-07-28;74;17;1;12;3;1;4;2;2;0;3;7;0;0;0;0;0;0;0;60;38;7;2;0;5.43;4462
821;1992;Master;Single;92859.0;0;0;2012-10-19;46;962;61;921;52;61;20;1;5;4;12;2;0;0;0;0;0;0;0;33;2077;22;0;0;94.41;4744
11084;1976;Master;Together;65104.0;0;1;2013-11-14;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;1;49;1053;17;1;1;61.94;4353
8690;1962;Graduation;Married;86111.0;0;0;2013-04-19;73;399;28;756;36;40;126;1;5;7;10;2;0;0;0;0;0;0;0;63;1385;23;0;0;60.22;4562
2937;1974;PhD;Single;68352.0;0;1;2013-08-28;47;614;16;132;43;33;33;3;8;5;9;6;0;0;0;0;0;0;0;51;871;25;1;0;34.84;4431
9701;1988;Graduation;Together;41883.0;1;0;2013-03-19;13;32;34;41;73;16;116;3;4;2;3;7;0;0;0;0;0;0;0;37;312;12;1;0;26.0;4593
9949;1976;Graduation;Married;59809.0;0;2;2012-10-18;36;598;16;141;32;41;49;3;3;3;6;8;0;0;0;0;0;0;0;49;877;15;2;0;58.47;4745
10837;1975;Graduation;Married;23957.0;1;0;2012-10-28;47;2;1;18;20;11;16;1;2;0;3;6;0;0;0;0;0;0;1;50;68;6;1;1;11.33;4735
3120;1981;Graduation;Together;38547.0;1;0;2013-08-28;49;6;1;10;0;1;4;1;1;0;2;8;0;0;0;0;0;1;0;44;22;4;1;0;5.5;4431
5885;1973;2n Cycle;Married;35688.0;2;1;2012-08-22;94;73;3;90;12;1;32;7;4;1;4;8;0;0;0;0;0;0;0;52;211;16;3;0;13.19;4802
4050;1966;Master;Married;49605.0;0;0;2014-06-21;65;42;16;29;12;20;8;1;2;1;4;3;0;0;0;0;0;0;0;59;127;8;0;0;15.88;4134
3830;1953;Master;Married;59354.0;0;2;2014-04-24;59;295;21;78;39;13;13;1;4;4;7;3;0;0;0;0;0;0;0;72;459;16;2;0;28.69;4192
7987;1969;Graduation;Married;65747.0;0;1;2014-03-07;96;346;17;48;23;13;13;4;8;1;6;6;0;1;0;0;0;0;0;56;460;19;1;1;24.21;4240
7798;1972;2n Cycle;Together;46344.0;0;1;2012-12-14;28;233;20;57;8;20;91;4;7;1;5;7;0;0;0;0;0;0;0;53;429;17;1;0;25.24;4688
92;1988;Graduation;Alone;34176.0;1;0;2014-05-12;12;5;7;24;19;14;20;4;3;0;4;6;0;0;0;0;0;0;0;37;89;11;1;0;8.09;4174
7055;1952;PhD;Together;61010.0;0;1;2012-10-09;57;888;0;57;0;0;76;2;8;5;11;5;0;0;0;0;0;0;0;73;1021;26;1;0;39.27;4754
10240;1949;Graduation;Together;69372.0;0;0;2013-02-19;10;997;26;269;34;13;42;1;10;4;6;4;0;1;1;0;0;0;1;76;1381;21;0;3;65.76;4621
3025;1958;Graduation;Single;49967.0;0;1;2013-07-08;4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;0;67;306;15;1;0;20.4;4482
9283;1978;Graduation;Single;60199.0;1;2;2013-09-12;49;8;1;7;2;0;0;1;0;0;3;4;0;0;0;0;0;0;0;47;18;4;3;0;4.5;4416
